ItemCode	-	ItemName	-	TOTAL
20005	-	CATALOGO WESTON 2024	-	231.7025528
A-10000	-	BALERO R2-2RS	-	19.74784
A-10005	-	BALERO R2-ZZ	-	16.90468
A-10020	-	BALERO R3-2RS	-	19.42826
A-10025	-	BALERO R3-ZZ	-	17.87444
A-10030	-	BALERO R4-ZZ	-	17.7422
A-10041	-	BALERO R4A-2RS	-	24.48644
A-10042	-	BALERO R4A-ZZ (Precio x pieza - Empaque c/8 pzas)	-	17.87444
A-10050	-	BALERO R4-2RS	-	14.73374
A-10060	-	BALERO RLS4-ZZ	-	47.4962
A-10070	-	BALERO RMS4-ZZ  1/2 X 1-5/8 X 5/8"	-	73.86706
A-10080	-	BALERO R6-ZZ	-	20.387
A-10090	-	BALERO R6-2RS	-	15.428
A-10100	-	BALERO RLS6-ZZ	-	70.04312
A-10110	-	BALERO R8-ZZ	-	18.92134
A-10120	-	BALERO R8-2RS	-	14.73374
A-10130	-	BALERO RLS8-ZZ	-	106.32096
A-10131	-	BALERO RLS8-2RS	-	106.54136
A-10140	-	BALERO R10-ZZ	-	31.92494
A-10150	-	BALERO R10-2RS	-	28.75118
A-10160	-	BALERO R12-ZZ	-	32.57512
A-10165	-	BALERO R12-2RS	-	32.55308
A-10170	-	BALERO R14-ZZ	-	64.91882
A-10180	-	BALERO R16-ZZ	-	74.62744
A-10185	-	BALERO R16-2RS	-	74.73764
A-10190	-	BALERO R18-2RS	-	92.77738
A-10192	-	BALERO R18-ZZ	-	92.77738
A-10200	-	BALERO R20-2RS	-	119.60006
A-10210	-	BALERO R24-2RS	-	110.3102
A-10212	-	BALERO 604-ZZ	-	9.1466
A-10214	-	BALERO 604-2RS	-	11.55998
A-10216	-	BALERO 606-ZZ	-	9.1466
A-10218	-	BALERO 606-2RS	-	10.36982
A-10220	-	BALERO 607-ZZ	-	9.1466
A-10230	-	BALERO 607-2RS	-	11.26244
A-10240	-	BALERO 608-ZZ	-	10.86572
A-10250	-	BALERO 608-2RS	-	11.02
A-10260	-	BALERO 609-ZZ	-	11.86854
A-10270	-	BALERO 609-2RS	-	15.19658
A-10272	-	BALERO 623-ZZ	-	14.9872
A-10273	-	BALERO 623-2RS	-	14.17172
A-10277	-	BALERO 624-2RS	-	9.46618
A-10283	-	BALERO 625-ZZ	-	10.56818
A-10285	-	BALERO 625-2RS	-	9.44414
A-10290	-	BALERO 626-ZZ	-	9.65352
A-10295	-	BALERO 626-2RS	-	10.23758
A-10300	-	BALERO 627-ZZ	-	10.29268
A-10310	-	BALERO 627-2RS	-	10.23758
A-10318	-	BALERO 628-ZZ	-	11.63712
